Measure,Structure,Sex,Age,Height,Mean,Variance
SAT,Body,female,39,1.94,2.77246856511255,0.198812765414468
SAT,Body,female,39,1.95,2.77502215440634,0.199321012322258
SAT,Body,female,39,1.96,2.77757574370007,0.199827510781748
SAT,Body,female,39,1.97,2.78012933299376,0.200333223556715
SAT,Body,female,39,1.98,2.78268292228744,0.200838594206125
SAT,Body,female,39,1.99,2.78523651158111,0.201343907834608
SAT,Body,female,39,2,2.78779010087479,0.201849221463092
SAT,Body,female,39,2.01,2.79034369016846,0.202354535091576
SAT,Body,female,39,2.02,2.79289727946213,0.202859848720059
SAT,Body,female,39,2.03,2.7954508687558,0.203365162348543
SAT,Body,female,39,2.04,2.79800445804948,0.203870475977026
SAT,Body,female,39,2.05,2.80055804734315,0.20437578960551
SAT,Body,female,39,2.06,2.80311163663682,0.204881103233993
SAT,Body,female,39,2.07,2.80566522593049,0.205386416862477
SAT,Body,female,39,2.08,2.80821881522417,0.20589173049096
SAT,Abdomen,male,39,1.4,2.19848733278493,0.320753610002211
SAT,Abdomen,male,39,1.41,2.20579332569219,0.314917695607688
SAT,Abdomen,male,39,1.42,2.21310073553993,0.309152969618401
SAT,Abdomen,male,39,1.43,2.22040962136735,0.303462398217901
SAT,Abdomen,male,39,1.44,2.22772004221363,0.29784894758974
SAT,Abdomen,male,39,1.45,2.23503205711797,0.292315583917469
SAT,Abdomen,male,39,1.46,2.24234572511954,0.28686527338464
SAT,Abdomen,male,39,1.47,2.24966110525754,0.281500982174805
SAT,Abdomen,male,39,1.48,2.25697825657115,0.276225676471514
SAT,Abdomen,male,39,1.49,2.26429723809956,0.271042322458319
SAT,Abdomen,male,39,1.5,2.27161810888195,0.265953886318773
SAT,Abdomen,male,39,1.51,2.27894096257433,0.260963059615624
SAT,Abdomen,male,39,1.52,2.28626605391972,0.256071650941832
SAT,Abdomen,male,39,1.53,2.29359377306371,0.251282757875427
SAT,Abdomen,male,39,1.54,2.30092457231366,0.246603609253241
SAT,Abdomen,male,39,1.55,2.30825889493706,0.24204793313179
SAT,Abdomen,male,39,1.56,2.31559711032409,0.237637391448929
SAT,Abdomen,male,39,1.57,2.32293945965128,0.233401706331736
SAT,Abdomen,male,39,1.58,2.33028601529514,0.229377283448397
SAT,Abdomen,male,39,1.59,2.33763665585762,0.225604377466172
SAT,Abdomen,male,39,1.6,2.34499105702678,0.222123098592083
SAT,Abdomen,male,39,1.61,2.35234869686935,0.218968781017598
SAT,Abdomen,male,39,1.62,2.35970887278342,0.216167383090314
SAT,Abdomen,male,39,1.63,2.3670707264244,0.213731636275319
SAT,Abdomen,male,39,1.64,2.37443327257534,0.211658592991434
SAT,Abdomen,male,39,1.65,2.38179542819279,0.209929048325894
SAT,Abdomen,male,39,1.66,2.3891560386575,0.208509051348155
SAT,Abdomen,male,39,1.67,2.39651389945073,0.207353416352629
SAT,Abdomen,male,39,1.68,2.40386777286032,0.206410839278686
SAT,Abdomen,male,39,1.69,2.41121640066703,0.205629967271716
SAT,Abdomen,male,39,1.7,2.41855851485248,0.204965600928694
SAT,Abdomen,male,39,1.71,2.42589284902875,0.204384157294412
SAT,Abdomen,male,39,1.72,2.43321815340771,0.203867597638611
SAT,Abdomen,male,39,1.73,2.44053321568358,0.203415218463147
SAT,Abdomen,male,39,1.74,2.44783688925963,0.203042989696321
SAT,Abdomen,male,39,1.75,2.455128132402,0.202780571325678
SAT,Abdomen,male,39,1.76,2.46240612594504,0.202668611602297
SAT,Abdomen,male,39,1.77,2.469670318577,0.202752137815071
SAT,Abdomen,male,39,1.78,2.47692039554138,0.203070928383646
SAT,Abdomen,male,39,1.79,2.48415631389597,0.203652706389146
SAT,Abdomen,male,39,1.8,2.49137833030992,0.204507842224433
SAT,Abdomen,male,39,1.81,2.49858701358874,0.20562618431676
SAT,Abdomen,male,39,1.82,2.50578323887532,0.206976443428228
SAT,Abdomen,male,39,1.83,2.51296816222506,0.208508195144609
SAT,Abdomen,male,39,1.84,2.52014317623034,0.210156201880548
SAT,Abdomen,male,39,1.85,2.52730984933121,0.21184644264436
SAT,Abdomen,male,39,1.86,2.5344698531554,0.213503020485814
SAT,Abdomen,male,39,1.87,2.54162488347555,0.215055023830709
SAT,Abdomen,male,39,1.88,2.54877658101371,0.216442459517487
SAT,Abdomen,male,39,1.89,2.55592645829624,0.217620542545074
SAT,Abdomen,male,39,1.9,2.56307583808962,0.218561891889716
SAT,Abdomen,male,39,1.91,2.57022580772649,0.219256500812922
SAT,Abdomen,male,39,1.92,2.57737719202328,0.219709674179416
SAT,Abdomen,male,39,1.93,2.58453054569524,0.219938405302373
SAT,Abdomen,male,39,1.94,2.59168616439849,0.219966859730654
SAT,Abdomen,male,39,1.95,2.59884411196366,0.21982171650659
SAT,Abdomen,male,39,1.96,2.60600426018086,0.219528080225106
SAT,Abdomen,male,39,1.97,2.61316633674522,0.219106530255985
SAT,Abdomen,male,39,1.98,2.62032997670634,0.218571644242556
SAT,Abdomen,male,39,1.99,2.62749477295422,0.217932061133411
SAT,Abdomen,male,39,2,2.63466032184033,0.217191879760085
SAT,Abdomen,male,39,2.01,2.64182626086238,0.216352965698427
SAT,Abdomen,male,39,2.02,2.6489922963099,0.215417596326894
SAT,Abdomen,male,39,2.03,2.6561582197526,0.214390831738282
SAT,Abdomen,male,39,2.04,2.66332391315112,0.213282060097862
SAT,Abdomen,male,39,2.05,2.67048934310446,0.212105314993858
SAT,Abdomen,male,39,2.06,2.67765454527527,0.210878168791852
SAT,Abdomen,male,39,2.07,2.68481959785987,0.209619646491568
SAT,Abdomen,male,39,2.08,2.69198458305137,0.208347797958975
SAT,Abdomen,female,39,1.4,2.63457474282238,0.187418935852148
SAT,Abdomen,female,39,1.41,2.63712833213555,0.18728733946316
SAT,Abdomen,female,39,1.42,2.63968192144923,0.187195339883073
SAT,Abdomen,female,39,1.43,2.64223551076343,0.187154456721216
SAT,Abdomen,female,39,1.44,2.64478910007813,0.187177325668144
SAT,Abdomen,female,39,1.45,2.6473426893933,0.187276723281143
SAT,Abdomen,female,39,1.46,2.64989627870889,0.18746443839949
SAT,Abdomen,female,39,1.47,2.65244986802482,0.187750052404911
SAT,Abdomen,female,39,1.48,2.65500345734096,0.188139714721382
SAT,Abdomen,female,39,1.49,2.65755704665718,0.188635017446588
SAT,Abdomen,female,39,1.5,2.66011063597329,0.189232080720682
SAT,Abdomen,female,39,1.51,2.6626642252891,0.189920956291823
SAT,Abdomen,female,39,1.52,2.66521781460437,0.190685440008576
SAT,Abdomen,female,39,1.53,2.66777140391886,0.191503355445428
SAT,Abdomen,female,39,1.54,2.67032499323231,0.192347332825988
SAT,Abdomen,female,39,1.55,2.6728785825445,0.193186063400939
SAT,Abdomen,female,39,1.56,2.67543217185518,0.193985963913875
SAT,Abdomen,female,39,1.57,2.67798576116419,0.194713143595442
SAT,Abdomen,female,39,1.58,2.68053935047136,0.195335531951502
SAT,Abdomen,female,39,1.59,2.68309293977662,0.19582500342824
SAT,Abdomen,female,39,1.6,2.68564652907993,0.196159327631566
SAT,Abdomen,female,39,1.61,2.68820011838133,0.19632378240486
SAT,Abdomen,female,39,1.62,2.69075370768091,0.19631229128707
SAT,Abdomen,female,39,1.63,2.69330729697882,0.196127984575983
SAT,Abdomen,female,39,1.64,2.69586088627527,0.195783130858956
SAT,Abdomen,female,39,1.65,2.69841447557048,0.195298438838567
SAT,Abdomen,female,39,1.66,2.70096806486473,0.194701782413369
SAT,Abdomen,female,39,1.67,2.70352165415827,0.194026450121637
SAT,Abdomen,female,39,1.68,2.70607524345136,0.193309058626119
SAT,Abdomen,female,39,1.69,2.70862883274424,0.192587295356829
SAT,Abdomen,female,39,1.7,2.7111824220371,0.191897665576878
SAT,Abdomen,female,39,1.71,2.71373601133013,0.191273413418526
SAT,Abdomen,female,39,1.72,2.71628960062345,0.190742765876519
SAT,Abdomen,female,39,1.73,2.71884318991713,0.190327615804135
SAT,Abdomen,female,39,1.74,2.72139677921121,0.190042718222716
SAT,Abdomen,female,39,1.75,2.72395036850571,0.189895428026372
SAT,Abdomen,female,39,1.76,2.72650395780059,0.189885960975015
SAT,Abdomen,female,39,1.77,2.72905754709581,0.190008118017497
SAT,Abdomen,female,39,1.78,2.7316111363913,0.190250379107239
SAT,Abdomen,female,39,1.79,2.73416472568699,0.190597249409229
SAT,Abdomen,female,39,1.8,2.7367183149828,0.191030729597842
SAT,Abdomen,female,39,1.81,2.73927190427867,0.19153178299509
SAT,Abdomen,female,39,1.82,2.74182549357452,0.192081684589352
SAT,Abdomen,female,39,1.83,2.74437908287031,0.192663158486697
SAT,Abdomen,female,39,1.84,2.74693267216598,0.193261238326845
SAT,Abdomen,female,39,1.85,2.74948626146151,0.193863816480129
SAT,Abdomen,female,39,1.86,2.75203985075685,0.194461879198601
SAT,Abdomen,female,39,1.87,2.754593440052,0.195049453340108
SAT,Abdomen,female,39,1.88,2.75714702934693,0.195623313351549
SAT,Abdomen,female,39,1.89,2.75970061864166,0.196182513128356
SAT,Abdomen,female,39,1.9,2.76225420793618,0.196727815223978
SAT,Abdomen,female,39,1.91,2.76480779723051,0.197261089574472
SAT,Abdomen,female,39,1.92,2.76736138652466,0.197784746134134
SAT,Abdomen,female,39,1.93,2.76991497581867,0.198301251976514
SAT,Abdomen,female,39,1.94,2.77246856511255,0.198812765414468
SAT,Abdomen,female,39,1.95,2.77502215440634,0.199321012322258
SAT,Abdomen,female,39,1.96,2.77757574370007,0.199827510781748
SAT,Abdomen,female,39,1.97,2.78012933299376,0.200333223556715
SAT,Abdomen,female,39,1.98,2.78268292228744,0.200838594206125
SAT,Abdomen,female,39,1.99,2.78523651158111,0.201343907834608
SAT,Abdomen,female,39,2,2.78779010087479,0.201849221463092
SAT,Abdomen,female,39,2.01,2.79034369016846,0.202354535091576
SAT,Abdomen,female,39,2.02,2.79289727946213,0.202859848720059
SAT,Abdomen,female,39,2.03,2.7954508687558,0.203365162348543
SAT,Abdomen,female,39,2.04,2.79800445804948,0.203870475977026
SAT,Abdomen,female,39,2.05,2.80055804734315,0.20437578960551
SAT,Abdomen,female,39,2.06,2.80311163663682,0.204881103233993
SAT,Abdomen,female,39,2.07,2.80566522593049,0.205386416862477
SAT,Abdomen,female,39,2.08,2.80821881522417,0.20589173049096
SAT,Upper Abdomen,male,39,1.4,2.19848733278493,0.320753610002211
SAT,Upper Abdomen,male,39,1.41,2.20579332569219,0.314917695607688
SAT,Upper Abdomen,male,39,1.42,2.21310073553993,0.309152969618401
SAT,Upper Abdomen,male,39,1.43,2.22040962136735,0.303462398217901
SAT,Upper Abdomen,male,39,1.44,2.22772004221363,0.29784894758974
SAT,Upper Abdomen,male,39,1.45,2.23503205711797,0.292315583917469
SAT,Upper Abdomen,male,39,1.46,2.24234572511954,0.28686527338464
SAT,Upper Abdomen,male,39,1.47,2.24966110525754,0.281500982174805
SAT,Upper Abdomen,male,39,1.48,2.25697825657115,0.276225676471514
SAT,Upper Abdomen,male,39,1.49,2.26429723809956,0.271042322458319
SAT,Upper Abdomen,male,39,1.5,2.27161810888195,0.265953886318773
SAT,Upper Abdomen,male,39,1.51,2.27894096257433,0.260963059615624
SAT,Upper Abdomen,male,39,1.52,2.28626605391972,0.256071650941832
SAT,Upper Abdomen,male,39,1.53,2.29359377306371,0.251282757875427
SAT,Upper Abdomen,male,39,1.54,2.30092457231366,0.246603609253241
SAT,Upper Abdomen,male,39,1.55,2.30825889493706,0.24204793313179
SAT,Upper Abdomen,male,39,1.56,2.31559711032409,0.237637391448929
SAT,Upper Abdomen,male,39,1.57,2.32293945965128,0.233401706331736
SAT,Upper Abdomen,male,39,1.58,2.33028601529514,0.229377283448397
SAT,Upper Abdomen,male,39,1.59,2.33763665585762,0.225604377466172
SAT,Upper Abdomen,male,39,1.6,2.34499105702678,0.222123098592083
SAT,Upper Abdomen,male,39,1.61,2.35234869686935,0.218968781017598
SAT,Upper Abdomen,male,39,1.62,2.35970887278342,0.216167383090314
SAT,Upper Abdomen,male,39,1.63,2.3670707264244,0.213731636275319
SAT,Upper Abdomen,male,39,1.64,2.37443327257534,0.211658592991434
SAT,Upper Abdomen,male,39,1.65,2.38179542819279,0.209929048325894
SAT,Upper Abdomen,male,39,1.66,2.3891560386575,0.208509051348155
SAT,Upper Abdomen,male,39,1.67,2.39651389945073,0.207353416352629
SAT,Upper Abdomen,male,39,1.68,2.40386777286032,0.206410839278686
SAT,Upper Abdomen,male,39,1.69,2.41121640066703,0.205629967271716
SAT,Upper Abdomen,male,39,1.7,2.41855851485248,0.204965600928694
SAT,Upper Abdomen,male,39,1.71,2.42589284902875,0.204384157294412
SAT,Upper Abdomen,male,39,1.72,2.43321815340771,0.203867597638611
SAT,Upper Abdomen,male,39,1.73,2.44053321568358,0.203415218463147
SAT,Upper Abdomen,male,39,1.74,2.44783688925963,0.203042989696321
SAT,Upper Abdomen,male,39,1.75,2.455128132402,0.202780571325678
SAT,Upper Abdomen,male,39,1.76,2.46240612594504,0.202668611602297
SAT,Upper Abdomen,male,39,1.77,2.469670318577,0.202752137815071
SAT,Upper Abdomen,male,39,1.78,2.47692039554138,0.203070928383646
SAT,Upper Abdomen,male,39,1.79,2.48415631389597,0.203652706389146
SAT,Upper Abdomen,male,39,1.8,2.49137833030992,0.204507842224433
SAT,Upper Abdomen,male,39,1.81,2.49858701358874,0.20562618431676
SAT,Upper Abdomen,male,39,1.82,2.50578323887532,0.206976443428228
SAT,Upper Abdomen,male,39,1.83,2.51296816222506,0.208508195144609
SAT,Upper Abdomen,male,39,1.84,2.52014317623034,0.210156201880548
SAT,Upper Abdomen,male,39,1.85,2.52730984933121,0.21184644264436
SAT,Upper Abdomen,male,39,1.86,2.5344698531554,0.213503020485814
SAT,Upper Abdomen,male,39,1.87,2.54162488347555,0.215055023830709
SAT,Upper Abdomen,male,39,1.88,2.54877658101371,0.216442459517487
SAT,Upper Abdomen,male,39,1.89,2.55592645829624,0.217620542545074
SAT,Upper Abdomen,male,39,1.9,2.56307583808962,0.218561891889716
SAT,Upper Abdomen,male,39,1.91,2.57022580772649,0.219256500812922
SAT,Upper Abdomen,male,39,1.92,2.57737719202328,0.219709674179416
SAT,Upper Abdomen,male,39,1.93,2.58453054569524,0.219938405302373
SAT,Upper Abdomen,male,39,1.94,2.59168616439849,0.219966859730654
SAT,Upper Abdomen,male,39,1.95,2.59884411196366,0.21982171650659
SAT,Upper Abdomen,male,39,1.96,2.60600426018086,0.219528080225106
SAT,Upper Abdomen,male,39,1.97,2.61316633674522,0.219106530255985
SAT,Upper Abdomen,male,39,1.98,2.62032997670634,0.218571644242556
SAT,Upper Abdomen,male,39,1.99,2.62749477295422,0.217932061133411
SAT,Upper Abdomen,male,39,2,2.63466032184033,0.217191879760085
SAT,Upper Abdomen,male,39,2.01,2.64182626086238,0.216352965698427
SAT,Upper Abdomen,male,39,2.02,2.6489922963099,0.215417596326894
SAT,Upper Abdomen,male,39,2.03,2.6561582197526,0.214390831738282
SAT,Upper Abdomen,male,39,2.04,2.66332391315112,0.213282060097862
SAT,Upper Abdomen,male,39,2.05,2.67048934310446,0.212105314993858
SAT,Upper Abdomen,male,39,2.06,2.67765454527527,0.210878168791852
SAT,Upper Abdomen,male,39,2.07,2.68481959785987,0.209619646491568
SAT,Upper Abdomen,male,39,2.08,2.69198458305137,0.208347797958975
SAT,Upper Abdomen,female,39,1.4,2.63457474282238,0.187418935852148
SAT,Upper Abdomen,female,39,1.41,2.63712833213555,0.18728733946316
SAT,Upper Abdomen,female,39,1.42,2.63968192144923,0.187195339883073
SAT,Upper Abdomen,female,39,1.43,2.64223551076343,0.187154456721216
SAT,Upper Abdomen,female,39,1.44,2.64478910007813,0.187177325668144
SAT,Upper Abdomen,female,39,1.45,2.6473426893933,0.187276723281143
SAT,Upper Abdomen,female,39,1.46,2.64989627870889,0.18746443839949
SAT,Upper Abdomen,female,39,1.47,2.65244986802482,0.187750052404911
SAT,Upper Abdomen,female,39,1.48,2.65500345734096,0.188139714721382
SAT,Upper Abdomen,female,39,1.49,2.65755704665718,0.188635017446588
SAT,Upper Abdomen,female,39,1.5,2.66011063597329,0.189232080720682
SAT,Upper Abdomen,female,39,1.51,2.6626642252891,0.189920956291823
SAT,Upper Abdomen,female,39,1.52,2.66521781460437,0.190685440008576
SAT,Upper Abdomen,female,39,1.53,2.66777140391886,0.191503355445428
SAT,Upper Abdomen,female,39,1.54,2.67032499323231,0.192347332825988
SAT,Upper Abdomen,female,39,1.55,2.6728785825445,0.193186063400939
SAT,Upper Abdomen,female,39,1.56,2.67543217185518,0.193985963913875
SAT,Upper Abdomen,female,39,1.57,2.67798576116419,0.194713143595442
SAT,Upper Abdomen,female,39,1.58,2.68053935047136,0.195335531951502
SAT,Upper Abdomen,female,39,1.59,2.68309293977662,0.19582500342824
SAT,Upper Abdomen,female,39,1.6,2.68564652907993,0.196159327631566
SAT,Upper Abdomen,female,39,1.61,2.68820011838133,0.19632378240486
SAT,Upper Abdomen,female,39,1.62,2.69075370768091,0.19631229128707
SAT,Upper Abdomen,female,39,1.63,2.69330729697882,0.196127984575983
SAT,Upper Abdomen,female,39,1.64,2.69586088627527,0.195783130858956
SAT,Upper Abdomen,female,39,1.65,2.69841447557048,0.195298438838567
SAT,Upper Abdomen,female,39,1.66,2.70096806486473,0.194701782413369
SAT,Upper Abdomen,female,39,1.67,2.70352165415827,0.194026450121637
SAT,Upper Abdomen,female,39,1.68,2.70607524345136,0.193309058626119
SAT,Upper Abdomen,female,39,1.69,2.70862883274424,0.192587295356829
SAT,Upper Abdomen,female,39,1.7,2.7111824220371,0.191897665576878
SAT,Upper Abdomen,female,39,1.71,2.71373601133013,0.191273413418526
SAT,Upper Abdomen,female,39,1.72,2.71628960062345,0.190742765876519
SAT,Upper Abdomen,female,39,1.73,2.71884318991713,0.190327615804135
SAT,Upper Abdomen,female,39,1.74,2.72139677921121,0.190042718222716
SAT,Upper Abdomen,female,39,1.75,2.72395036850571,0.189895428026372
SAT,Upper Abdomen,female,39,1.76,2.72650395780059,0.189885960975015
SAT,Upper Abdomen,female,39,1.77,2.72905754709581,0.190008118017497
SAT,Upper Abdomen,female,39,1.78,2.7316111363913,0.190250379107239
SAT,Upper Abdomen,female,39,1.79,2.73416472568699,0.190597249409229
SAT,Upper Abdomen,female,39,1.8,2.7367183149828,0.191030729597842
SAT,Upper Abdomen,female,39,1.81,2.73927190427867,0.19153178299509
SAT,Upper Abdomen,female,39,1.82,2.74182549357452,0.192081684589352
SAT,Upper Abdomen,female,39,1.83,2.74437908287031,0.192663158486697
SAT,Upper Abdomen,female,39,1.84,2.74693267216598,0.193261238326845
SAT,Upper Abdomen,female,39,1.85,2.74948626146151,0.193863816480129
SAT,Upper Abdomen,female,39,1.86,2.75203985075685,0.194461879198601
SAT,Upper Abdomen,female,39,1.87,2.754593440052,0.195049453340108
SAT,Upper Abdomen,female,39,1.88,2.75714702934693,0.195623313351549
SAT,Upper Abdomen,female,39,1.89,2.75970061864166,0.196182513128356
SAT,Upper Abdomen,female,39,1.9,2.76225420793618,0.196727815223978
SAT,Upper Abdomen,female,39,1.91,2.76480779723051,0.197261089574472
SAT,Upper Abdomen,female,39,1.92,2.76736138652466,0.197784746134134
SAT,Upper Abdomen,female,39,1.93,2.76991497581867,0.198301251976514
SAT,Upper Abdomen,female,39,1.94,2.77246856511255,0.198812765414468
SAT,Upper Abdomen,female,39,1.95,2.77502215440634,0.199321012322258
SAT,Upper Abdomen,female,39,1.96,2.77757574370007,0.199827510781748
SAT,Upper Abdomen,female,39,1.97,2.78012933299376,0.200333223556715
SAT,Upper Abdomen,female,39,1.98,2.78268292228744,0.200838594206125
SAT,Upper Abdomen,female,39,1.99,2.78523651158111,0.201343907834608
SAT,Upper Abdomen,female,39,2,2.78779010087479,0.201849221463092
SAT,Upper Abdomen,female,39,2.01,2.79034369016846,0.202354535091576
SAT,Upper Abdomen,female,39,2.02,2.79289727946213,0.202859848720059
SAT,Upper Abdomen,female,39,2.03,2.7954508687558,0.203365162348543
SAT,Upper Abdomen,female,39,2.04,2.79800445804948,0.203870475977026
SAT,Upper Abdomen,female,39,2.05,2.80055804734315,0.20437578960551
