Measure,Structure,Sex,Age,Height,Mean,Variance
SAT,Body,female,42,1.94,2.79523036590212,0.195788554491347
SAT,Body,female,42,1.95,2.79778395519591,0.196296801399136
SAT,Body,female,42,1.96,2.80033754448964,0.196803299858627
SAT,Body,female,42,1.97,2.80289113378333,0.197309012633594
SAT,Body,female,42,1.98,2.80544472307701,0.197814383283003
SAT,Body,female,42,1.99,2.80799831237068,0.198319696911487
SAT,Body,female,42,2,2.81055190166435,0.198825010539971
SAT,Body,female,42,2.01,2.81310549095802,0.199330324168454
SAT,Body,female,42,2.02,2.8156590802517,0.199835637796938
SAT,Body,female,42,2.03,2.81821266954537,0.200340951425421
SAT,Body,female,42,2.04,2.82076625883904,0.200846265053905
SAT,Body,female,42,2.05,2.82331984813271,0.201351578682388
SAT,Body,female,42,2.06,2.82587343742639,0.201856892310872
SAT,Body,female,42,2.07,2.82842702672006,0.202362205939355
SAT,Body,female,42,2.08,2.83098061601373,0.202867519567839
SAT,Abdomen,male,42,1.4,2.22569292416271,0.308445523230958
SAT,Abdomen,male,42,1.41,2.23299891706996,0.302609608836435
SAT,Abdomen,male,42,1.42,2.24030632691771,0.296844882847148
SAT,Abdomen,male,42,1.43,2.24761521274513,0.291154311446648
SAT,Abdomen,male,42,1.44,2.25492563359141,0.285540860818487
SAT,Abdomen,male,42,1.45,2.26223764849574,0.280007497146216
SAT,Abdomen,male,42,1.46,2.26955131649732,0.274557186613387
SAT,Abdomen,male,42,1.47,2.27686669663532,0.269192895403552
SAT,Abdomen,male,42,1.48,2.28418384794892,0.263917589700261
SAT,Abdomen,male,42,1.49,2.29150282947733,0.258734235687066
SAT,Abdomen,male,42,1.5,2.29882370025973,0.25364579954752
SAT,Abdomen,male,42,1.51,2.30614655395211,0.248654972844371
SAT,Abdomen,male,42,1.52,2.3134716452975,0.243763564170579
SAT,Abdomen,male,42,1.53,2.32079936444149,0.238974671104174
SAT,Abdomen,male,42,1.54,2.32813016369144,0.234295522481988
SAT,Abdomen,male,42,1.55,2.33546448631484,0.229739846360537
SAT,Abdomen,male,42,1.56,2.34280270170187,0.225329304677676
SAT,Abdomen,male,42,1.57,2.35014505102906,0.221093619560483
SAT,Abdomen,male,42,1.58,2.35749160667292,0.217069196677144
SAT,Abdomen,male,42,1.59,2.3648422472354,0.213296290694919
SAT,Abdomen,male,42,1.6,2.37219664840456,0.20981501182083
SAT,Abdomen,male,42,1.61,2.37955428824712,0.206660694246345
SAT,Abdomen,male,42,1.62,2.38691446416119,0.203859296319061
SAT,Abdomen,male,42,1.63,2.39427631780217,0.201423549504065
SAT,Abdomen,male,42,1.64,2.40163886395311,0.199350506220181
SAT,Abdomen,male,42,1.65,2.40900101957057,0.197620961554641
SAT,Abdomen,male,42,1.66,2.41636163003528,0.196200964576901
SAT,Abdomen,male,42,1.67,2.4237194908285,0.195045329581376
SAT,Abdomen,male,42,1.68,2.43107336423809,0.194102752507433
SAT,Abdomen,male,42,1.69,2.4384219920448,0.193321880500462
SAT,Abdomen,male,42,1.7,2.44576410623026,0.192657514157441
SAT,Abdomen,male,42,1.71,2.45309844040652,0.192076070523159
SAT,Abdomen,male,42,1.72,2.46042374478548,0.191559510867358
SAT,Abdomen,male,42,1.73,2.46773880706135,0.191107131691894
SAT,Abdomen,male,42,1.74,2.4750424806374,0.190734902925068
SAT,Abdomen,male,42,1.75,2.48233372377978,0.190472484554425
SAT,Abdomen,male,42,1.76,2.48961171732281,0.190360524831044
SAT,Abdomen,male,42,1.77,2.49687590995478,0.190444051043818
SAT,Abdomen,male,42,1.78,2.50412598691916,0.190762841612392
SAT,Abdomen,male,42,1.79,2.51136190527374,0.191344619617893
SAT,Abdomen,male,42,1.8,2.51858392168769,0.19219975545318
SAT,Abdomen,male,42,1.81,2.52579260496651,0.193318097545507
SAT,Abdomen,male,42,1.82,2.53298883025309,0.194668356656975
SAT,Abdomen,male,42,1.83,2.54017375360284,0.196200108373356
SAT,Abdomen,male,42,1.84,2.54734876760812,0.197848115109295
SAT,Abdomen,male,42,1.85,2.55451544070899,0.199538355873107
SAT,Abdomen,male,42,1.86,2.56167544453317,0.201194933714561
SAT,Abdomen,male,42,1.87,2.56883047485333,0.202746937059456
SAT,Abdomen,male,42,1.88,2.57598217239149,0.204134372746233
SAT,Abdomen,male,42,1.89,2.58313204967401,0.205312455773821
SAT,Abdomen,male,42,1.9,2.5902814294674,0.206253805118463
SAT,Abdomen,male,42,1.91,2.59743139910427,0.206948414041668
SAT,Abdomen,male,42,1.92,2.60458278340106,0.207401587408162
SAT,Abdomen,male,42,1.93,2.61173613707302,0.20763031853112
SAT,Abdomen,male,42,1.94,2.61889175577627,0.207658772959401
SAT,Abdomen,male,42,1.95,2.62604970334143,0.207513629735337
SAT,Abdomen,male,42,1.96,2.63320985155863,0.207219993453853
SAT,Abdomen,male,42,1.97,2.640371928123,0.206798443484732
SAT,Abdomen,male,42,1.98,2.64753556808412,0.206263557471303
SAT,Abdomen,male,42,1.99,2.654700364332,0.205623974362158
SAT,Abdomen,male,42,2,2.66186591321811,0.204883792988831
SAT,Abdomen,male,42,2.01,2.66903185224016,0.204044878927173
SAT,Abdomen,male,42,2.02,2.67619788768768,0.203109509555641
SAT,Abdomen,male,42,2.03,2.68336381113038,0.202082744967029
SAT,Abdomen,male,42,2.04,2.69052950452889,0.200973973326609
SAT,Abdomen,male,42,2.05,2.69769493448224,0.199797228222605
SAT,Abdomen,male,42,2.06,2.70486013665305,0.198570082020599
SAT,Abdomen,male,42,2.07,2.71202518923765,0.197311559720315
SAT,Abdomen,male,42,2.08,2.71919017442915,0.196039711187722
SAT,Abdomen,female,42,1.4,2.65733654361195,0.184394724929027
SAT,Abdomen,female,42,1.41,2.65989013292512,0.184263128540038
SAT,Abdomen,female,42,1.42,2.6624437222388,0.184171128959951
SAT,Abdomen,female,42,1.43,2.66499731155299,0.184130245798095
SAT,Abdomen,female,42,1.44,2.66755090086769,0.184153114745023
SAT,Abdomen,female,42,1.45,2.67010449018287,0.184252512358021
SAT,Abdomen,female,42,1.46,2.67265807949846,0.184440227476368
SAT,Abdomen,female,42,1.47,2.67521166881438,0.184725841481789
SAT,Abdomen,female,42,1.48,2.67776525813053,0.185115503798261
SAT,Abdomen,female,42,1.49,2.68031884744674,0.185610806523466
SAT,Abdomen,female,42,1.5,2.68287243676286,0.186207869797561
SAT,Abdomen,female,42,1.51,2.68542602607867,0.186896745368701
SAT,Abdomen,female,42,1.52,2.68797961539394,0.187661229085454
SAT,Abdomen,female,42,1.53,2.69053320470842,0.188479144522307
SAT,Abdomen,female,42,1.54,2.69308679402188,0.189323121902867
SAT,Abdomen,female,42,1.55,2.69564038333406,0.190161852477818
SAT,Abdomen,female,42,1.56,2.69819397264475,0.190961752990753
SAT,Abdomen,female,42,1.57,2.70074756195375,0.191688932672321
SAT,Abdomen,female,42,1.58,2.70330115126093,0.192311321028381
SAT,Abdomen,female,42,1.59,2.70585474056619,0.192800792505118
SAT,Abdomen,female,42,1.6,2.7084083298695,0.193135116708445
SAT,Abdomen,female,42,1.61,2.71096191917089,0.193299571481739
SAT,Abdomen,female,42,1.62,2.71351550847047,0.193288080363948
SAT,Abdomen,female,42,1.63,2.71606909776839,0.193103773652862
SAT,Abdomen,female,42,1.64,2.71862268706483,0.192758919935834
SAT,Abdomen,female,42,1.65,2.72117627636005,0.192274227915446
SAT,Abdomen,female,42,1.66,2.7237298656543,0.191677571490248
SAT,Abdomen,female,42,1.67,2.72628345494784,0.191002239198515
SAT,Abdomen,female,42,1.68,2.72883704424093,0.190284847702997
SAT,Abdomen,female,42,1.69,2.7313906335338,0.189563084433708
SAT,Abdomen,female,42,1.7,2.73394422282667,0.188873454653757
SAT,Abdomen,female,42,1.71,2.7364978121197,0.188249202495405
SAT,Abdomen,female,42,1.72,2.73905140141301,0.187718554953398
SAT,Abdomen,female,42,1.73,2.74160499070669,0.187303404881014
SAT,Abdomen,female,42,1.74,2.74415858000078,0.187018507299594
SAT,Abdomen,female,42,1.75,2.74671216929528,0.18687121710325
SAT,Abdomen,female,42,1.76,2.74926575859016,0.186861750051894
SAT,Abdomen,female,42,1.77,2.75181934788538,0.186983907094375
SAT,Abdomen,female,42,1.78,2.75437293718086,0.187226168184117
SAT,Abdomen,female,42,1.79,2.75692652647655,0.187573038486108
SAT,Abdomen,female,42,1.8,2.75948011577236,0.18800651867472
SAT,Abdomen,female,42,1.81,2.76203370506823,0.188507572071969
SAT,Abdomen,female,42,1.82,2.76458729436409,0.18905747366623
SAT,Abdomen,female,42,1.83,2.76714088365988,0.189638947563576
SAT,Abdomen,female,42,1.84,2.76969447295555,0.190237027403723
SAT,Abdomen,female,42,1.85,2.77224806225107,0.190839605557008
SAT,Abdomen,female,42,1.86,2.77480165154642,0.191437668275479
SAT,Abdomen,female,42,1.87,2.77735524084156,0.192025242416986
SAT,Abdomen,female,42,1.88,2.7799088301365,0.192599102428428
SAT,Abdomen,female,42,1.89,2.78246241943123,0.193158302205234
SAT,Abdomen,female,42,1.9,2.78501600872575,0.193703604300857
SAT,Abdomen,female,42,1.91,2.78756959802007,0.19423687865135
SAT,Abdomen,female,42,1.92,2.79012318731423,0.194760535211013
SAT,Abdomen,female,42,1.93,2.79267677660823,0.195277041053393
SAT,Abdomen,female,42,1.94,2.79523036590212,0.195788554491347
SAT,Abdomen,female,42,1.95,2.79778395519591,0.196296801399136
SAT,Abdomen,female,42,1.96,2.80033754448964,0.196803299858627
SAT,Abdomen,female,42,1.97,2.80289113378333,0.197309012633594
SAT,Abdomen,female,42,1.98,2.80544472307701,0.197814383283003
SAT,Abdomen,female,42,1.99,2.80799831237068,0.198319696911487
SAT,Abdomen,female,42,2,2.81055190166435,0.198825010539971
SAT,Abdomen,female,42,2.01,2.81310549095802,0.199330324168454
SAT,Abdomen,female,42,2.02,2.8156590802517,0.199835637796938
SAT,Abdomen,female,42,2.03,2.81821266954537,0.200340951425421
SAT,Abdomen,female,42,2.04,2.82076625883904,0.200846265053905
SAT,Abdomen,female,42,2.05,2.82331984813271,0.201351578682388
SAT,Abdomen,female,42,2.06,2.82587343742639,0.201856892310872
SAT,Abdomen,female,42,2.07,2.82842702672006,0.202362205939355
SAT,Abdomen,female,42,2.08,2.83098061601373,0.202867519567839
SAT,Upper Abdomen,male,42,1.4,2.22569292416271,0.308445523230958
SAT,Upper Abdomen,male,42,1.41,2.23299891706996,0.302609608836435
SAT,Upper Abdomen,male,42,1.42,2.24030632691771,0.296844882847148
SAT,Upper Abdomen,male,42,1.43,2.24761521274513,0.291154311446648
SAT,Upper Abdomen,male,42,1.44,2.25492563359141,0.285540860818487
SAT,Upper Abdomen,male,42,1.45,2.26223764849574,0.280007497146216
SAT,Upper Abdomen,male,42,1.46,2.26955131649732,0.274557186613387
SAT,Upper Abdomen,male,42,1.47,2.27686669663532,0.269192895403552
SAT,Upper Abdomen,male,42,1.48,2.28418384794892,0.263917589700261
SAT,Upper Abdomen,male,42,1.49,2.29150282947733,0.258734235687066
SAT,Upper Abdomen,male,42,1.5,2.29882370025973,0.25364579954752
SAT,Upper Abdomen,male,42,1.51,2.30614655395211,0.248654972844371
SAT,Upper Abdomen,male,42,1.52,2.3134716452975,0.243763564170579
SAT,Upper Abdomen,male,42,1.53,2.32079936444149,0.238974671104174
SAT,Upper Abdomen,male,42,1.54,2.32813016369144,0.234295522481988
SAT,Upper Abdomen,male,42,1.55,2.33546448631484,0.229739846360537
SAT,Upper Abdomen,male,42,1.56,2.34280270170187,0.225329304677676
SAT,Upper Abdomen,male,42,1.57,2.35014505102906,0.221093619560483
SAT,Upper Abdomen,male,42,1.58,2.35749160667292,0.217069196677144
SAT,Upper Abdomen,male,42,1.59,2.3648422472354,0.213296290694919
SAT,Upper Abdomen,male,42,1.6,2.37219664840456,0.20981501182083
SAT,Upper Abdomen,male,42,1.61,2.37955428824712,0.206660694246345
SAT,Upper Abdomen,male,42,1.62,2.38691446416119,0.203859296319061
SAT,Upper Abdomen,male,42,1.63,2.39427631780217,0.201423549504065
SAT,Upper Abdomen,male,42,1.64,2.40163886395311,0.199350506220181
SAT,Upper Abdomen,male,42,1.65,2.40900101957057,0.197620961554641
SAT,Upper Abdomen,male,42,1.66,2.41636163003528,0.196200964576901
SAT,Upper Abdomen,male,42,1.67,2.4237194908285,0.195045329581376
SAT,Upper Abdomen,male,42,1.68,2.43107336423809,0.194102752507433
SAT,Upper Abdomen,male,42,1.69,2.4384219920448,0.193321880500462
SAT,Upper Abdomen,male,42,1.7,2.44576410623026,0.192657514157441
SAT,Upper Abdomen,male,42,1.71,2.45309844040652,0.192076070523159
SAT,Upper Abdomen,male,42,1.72,2.46042374478548,0.191559510867358
SAT,Upper Abdomen,male,42,1.73,2.46773880706135,0.191107131691894
SAT,Upper Abdomen,male,42,1.74,2.4750424806374,0.190734902925068
SAT,Upper Abdomen,male,42,1.75,2.48233372377978,0.190472484554425
SAT,Upper Abdomen,male,42,1.76,2.48961171732281,0.190360524831044
SAT,Upper Abdomen,male,42,1.77,2.49687590995478,0.190444051043818
SAT,Upper Abdomen,male,42,1.78,2.50412598691916,0.190762841612392
SAT,Upper Abdomen,male,42,1.79,2.51136190527374,0.191344619617893
SAT,Upper Abdomen,male,42,1.8,2.51858392168769,0.19219975545318
SAT,Upper Abdomen,male,42,1.81,2.52579260496651,0.193318097545507
SAT,Upper Abdomen,male,42,1.82,2.53298883025309,0.194668356656975
SAT,Upper Abdomen,male,42,1.83,2.54017375360284,0.196200108373356
SAT,Upper Abdomen,male,42,1.84,2.54734876760812,0.197848115109295
SAT,Upper Abdomen,male,42,1.85,2.55451544070899,0.199538355873107
SAT,Upper Abdomen,male,42,1.86,2.56167544453317,0.201194933714561
SAT,Upper Abdomen,male,42,1.87,2.56883047485333,0.202746937059456
SAT,Upper Abdomen,male,42,1.88,2.57598217239149,0.204134372746233
SAT,Upper Abdomen,male,42,1.89,2.58313204967401,0.205312455773821
SAT,Upper Abdomen,male,42,1.9,2.5902814294674,0.206253805118463
SAT,Upper Abdomen,male,42,1.91,2.59743139910427,0.206948414041668
SAT,Upper Abdomen,male,42,1.92,2.60458278340106,0.207401587408162
SAT,Upper Abdomen,male,42,1.93,2.61173613707302,0.20763031853112
SAT,Upper Abdomen,male,42,1.94,2.61889175577627,0.207658772959401
SAT,Upper Abdomen,male,42,1.95,2.62604970334143,0.207513629735337
SAT,Upper Abdomen,male,42,1.96,2.63320985155863,0.207219993453853
SAT,Upper Abdomen,male,42,1.97,2.640371928123,0.206798443484732
SAT,Upper Abdomen,male,42,1.98,2.64753556808412,0.206263557471303
SAT,Upper Abdomen,male,42,1.99,2.654700364332,0.205623974362158
SAT,Upper Abdomen,male,42,2,2.66186591321811,0.204883792988831
SAT,Upper Abdomen,male,42,2.01,2.66903185224016,0.204044878927173
SAT,Upper Abdomen,male,42,2.02,2.67619788768768,0.203109509555641
SAT,Upper Abdomen,male,42,2.03,2.68336381113038,0.202082744967029
SAT,Upper Abdomen,male,42,2.04,2.69052950452889,0.200973973326609
SAT,Upper Abdomen,male,42,2.05,2.69769493448224,0.199797228222605
SAT,Upper Abdomen,male,42,2.06,2.70486013665305,0.198570082020599
SAT,Upper Abdomen,male,42,2.07,2.71202518923765,0.197311559720315
SAT,Upper Abdomen,male,42,2.08,2.71919017442915,0.196039711187722
SAT,Upper Abdomen,female,42,1.4,2.65733654361195,0.184394724929027
SAT,Upper Abdomen,female,42,1.41,2.65989013292512,0.184263128540038
SAT,Upper Abdomen,female,42,1.42,2.6624437222388,0.184171128959951
SAT,Upper Abdomen,female,42,1.43,2.66499731155299,0.184130245798095
SAT,Upper Abdomen,female,42,1.44,2.66755090086769,0.184153114745023
SAT,Upper Abdomen,female,42,1.45,2.67010449018287,0.184252512358021
SAT,Upper Abdomen,female,42,1.46,2.67265807949846,0.184440227476368
SAT,Upper Abdomen,female,42,1.47,2.67521166881438,0.184725841481789
SAT,Upper Abdomen,female,42,1.48,2.67776525813053,0.185115503798261
SAT,Upper Abdomen,female,42,1.49,2.68031884744674,0.185610806523466
SAT,Upper Abdomen,female,42,1.5,2.68287243676286,0.186207869797561
SAT,Upper Abdomen,female,42,1.51,2.68542602607867,0.186896745368701
SAT,Upper Abdomen,female,42,1.52,2.68797961539394,0.187661229085454
SAT,Upper Abdomen,female,42,1.53,2.69053320470842,0.188479144522307
SAT,Upper Abdomen,female,42,1.54,2.69308679402188,0.189323121902867
SAT,Upper Abdomen,female,42,1.55,2.69564038333406,0.190161852477818
SAT,Upper Abdomen,female,42,1.56,2.69819397264475,0.190961752990753
SAT,Upper Abdomen,female,42,1.57,2.70074756195375,0.191688932672321
SAT,Upper Abdomen,female,42,1.58,2.70330115126093,0.192311321028381
SAT,Upper Abdomen,female,42,1.59,2.70585474056619,0.192800792505118
SAT,Upper Abdomen,female,42,1.6,2.7084083298695,0.193135116708445
SAT,Upper Abdomen,female,42,1.61,2.71096191917089,0.193299571481739
SAT,Upper Abdomen,female,42,1.62,2.71351550847047,0.193288080363948
SAT,Upper Abdomen,female,42,1.63,2.71606909776839,0.193103773652862
SAT,Upper Abdomen,female,42,1.64,2.71862268706483,0.192758919935834
SAT,Upper Abdomen,female,42,1.65,2.72117627636005,0.192274227915446
SAT,Upper Abdomen,female,42,1.66,2.7237298656543,0.191677571490248
SAT,Upper Abdomen,female,42,1.67,2.72628345494784,0.191002239198515
SAT,Upper Abdomen,female,42,1.68,2.72883704424093,0.190284847702997
SAT,Upper Abdomen,female,42,1.69,2.7313906335338,0.189563084433708
SAT,Upper Abdomen,female,42,1.7,2.73394422282667,0.188873454653757
SAT,Upper Abdomen,female,42,1.71,2.7364978121197,0.188249202495405
SAT,Upper Abdomen,female,42,1.72,2.73905140141301,0.187718554953398
SAT,Upper Abdomen,female,42,1.73,2.74160499070669,0.187303404881014
SAT,Upper Abdomen,female,42,1.74,2.74415858000078,0.187018507299594
SAT,Upper Abdomen,female,42,1.75,2.74671216929528,0.18687121710325
SAT,Upper Abdomen,female,42,1.76,2.74926575859016,0.186861750051894
SAT,Upper Abdomen,female,42,1.77,2.75181934788538,0.186983907094375
SAT,Upper Abdomen,female,42,1.78,2.75437293718086,0.187226168184117
SAT,Upper Abdomen,female,42,1.79,2.75692652647655,0.187573038486108
SAT,Upper Abdomen,female,42,1.8,2.75948011577236,0.18800651867472
SAT,Upper Abdomen,female,42,1.81,2.76203370506823,0.188507572071969
SAT,Upper Abdomen,female,42,1.82,2.76458729436409,0.18905747366623
SAT,Upper Abdomen,female,42,1.83,2.76714088365988,0.189638947563576
SAT,Upper Abdomen,female,42,1.84,2.76969447295555,0.190237027403723
SAT,Upper Abdomen,female,42,1.85,2.77224806225107,0.190839605557008
SAT,Upper Abdomen,female,42,1.86,2.77480165154642,0.191437668275479
SAT,Upper Abdomen,female,42,1.87,2.77735524084156,0.192025242416986
SAT,Upper Abdomen,female,42,1.88,2.7799088301365,0.192599102428428
SAT,Upper Abdomen,female,42,1.89,2.78246241943123,0.193158302205234
SAT,Upper Abdomen,female,42,1.9,2.78501600872575,0.193703604300857
SAT,Upper Abdomen,female,42,1.91,2.78756959802007,0.19423687865135
SAT,Upper Abdomen,female,42,1.92,2.79012318731423,0.194760535211013
SAT,Upper Abdomen,female,42,1.93,2.79267677660823,0.195277041053393
SAT,Upper Abdomen,female,42,1.94,2.79523036590212,0.195788554491347
SAT,Upper Abdomen,female,42,1.95,2.79778395519591,0.196296801399136
SAT,Upper Abdomen,female,42,1.96,2.80033754448964,0.196803299858627
SAT,Upper Abdomen,female,42,1.97,2.80289113378333,0.197309012633594
SAT,Upper Abdomen,female,42,1.98,2.80544472307701,0.197814383283003
SAT,Upper Abdomen,female,42,1.99,2.80799831237068,0.198319696911487
SAT,Upper Abdomen,female,42,2,2.81055190166435,0.198825010539971
SAT,Upper Abdomen,female,42,2.01,2.81310549095802,0.199330324168454
SAT,Upper Abdomen,female,42,2.02,2.8156590802517,0.199835637796938
SAT,Upper Abdomen,female,42,2.03,2.81821266954537,0.200340951425421
SAT,Upper Abdomen,female,42,2.04,2.82076625883904,0.200846265053905
SAT,Upper Abdomen,female,42,2.05,2.82331984813271,0.201351578682388
